name,name_en,name_local,bbox,center_lat,center_lon,osm_id,admin_level,ref,type
Phra Nakhon District,Phra Nakhon District,เขตพระนคร,"100.4875804,13.7386948,100.5092356,13.7728868",0,0,92053,6,,boundary
Samphanthawong District,Samphanthawong District,เขตสัมพันธวงศ์,"100.4999337,13.7289077,100.5159974,13.7468298",0,0,92056,6,,boundary
Pom Prap Sattru Phai District,Pom Prap Sattru Phai District,เขตป้อมปราบศัตรูพ่าย,"100.5038512,13.7380772,100.5174297,13.7639252",0,0,92058,6,,boundary
Bang Rak District,Bang Rak District,เขตบางรัก,"100.5120759,13.7180596,100.5444745,13.7378098",0,0,92061,6,,boundary
Pathum Wan District,Pathum Wan District,เขตปทุมวัน,"100.5155314,13.7225037,100.5529529,13.7532379",0,0,92063,6,,boundary
Ratchathewi District,Ratchathewi District,เขตราชเทวี,"100.5190372,13.7478553,100.5649221,13.7743399",0,0,92064,6,,boundary
Phaya Thai District,Phaya Thai District,เขตพญาไท,"100.5278135,13.7626568,100.5619873,13.7978528",0,0,92068,6,,boundary
Dusit District,Dusit District,เขตดุสิต,"100.4992431,13.7527031,100.5373517,13.8004887",0,0,92069,6,,boundary
Bang Sue District,Bang Sue District,เขตบางซื่อ,"100.5063472,13.7978339,100.5450988,13.8497263",0,0,1639285,6,,boundary
Chatuchak District,Chatuchak District,เขตจตุจักร,"100.5371218,13.7945626,100.5910609,13.8588892",0,0,1639286,6,,boundary
Don Mueang District,Don Mueang District,เขตดอนเมือง,"100.5588952,13.8875325,100.6268021,13.9551693",0,0,1639287,6,,boundary
Lak Si District,Lak Si District,เขตหลักสี่,"100.5437274,13.8497932,100.5948448,13.9144799",0,0,1639288,6,,boundary
Bang Kruai District,Bang Kruai District,อำเภอบางกรวย,"100.3191745,13.789068,100.5150455,13.8366376",0,0,2688299,6,,boundary
Mueang Nonthaburi District,Mueang Nonthaburi District,อำเภอเมืองนนทบุรี,"100.4272105,13.8095819,100.5502927,13.8980254",0,0,2688300,6,,boundary
Pak Kret District,Pak Kret District,อำเภอปากเกร็ด,"100.3810321,13.877657,100.567605,13.9948071",0,0,2688301,6,,boundary
Bang Bua Thong District,Bang Bua Thong District,อำเภอบางบัวทอง,"100.3261158,13.863016,100.4509184,14.0007137",0,0,2689552,6,,boundary
Bang Yai District,Bang Yai District,อำเภอบางใหญ่,"100.2948191,13.8136775,100.4483102,13.9155102",0,0,2689553,6,,boundary
Sai Noi District,Sai Noi District,อำเภอไทรน้อย,"100.2632891,13.8738312,100.3562492,14.1406689",0,0,2689554,6,,boundary
Khlong Luang District,Khlong Luang District,อำเภอคลองหลวง,"100.5822118,13.9955253,100.7555719,14.2111236",0,0,2913006,6,,boundary
Lam Luk Ka District,Lam Luk Ka District,อำเภอลำลูกกา,"100.6051065,13.9162736,100.9148416,14.0682402",0,0,2913007,6,,boundary
Lat Lum Kaeo District,Lat Lum Kaeo District,อำเภอลาดหลุมแก้ว,"100.3316046,13.9679382,100.4966809,14.1191081",0,0,2913008,6,,boundary
Mueang Pathum Thani District,Mueang Pathum Thani District,อำเภอเมืองปทุมธานี,"100.448218,13.9362612,100.6066119,14.073592",0,0,2913009,6,,boundary
Nong Suea District,Nong Suea District,อำเภอหนองเสือ,"100.7551769,14.0448433,100.9520756,14.2760439",0,0,2913010,6,,boundary
Sam Khok District,Sam Khok District,อำเภอสามโคก,"100.4163501,14.0298352,100.5893678,14.1314918",0,0,2913011,6,,boundary
Thanyaburi District,Thanyaburi District,อำเภอธัญบุรี,"100.6014457,13.965786,100.9149424,14.0996227",0,0,2913012,6,,boundary
Bang Khen District,Bang Khen District,เขตบางเขน,"100.5865336,13.8425355,100.6856854,13.8997271",0,0,2938030,6,,boundary
Din Daeng District,Din Daeng District,เขตดินแดง,"100.5434049,13.7551446,100.5749158,13.8010753",0,0,2938031,6,,boundary
Huai Khwang District,Huai Khwang District,เขตห้วยขวาง,"100.5632738,13.7410978,100.6040591,13.8030964",0,0,2938032,6,,boundary
Khlong Toei District,Khlong Toei District,เขตคลองเตย,"100.5507256,13.6958021,100.6016605,13.7428412",0,0,2938033,6,,boundary
Lat Phrao District,Lat Phrao District,เขตลาดพร้าว,"100.5883653,13.7948649,100.6371812,13.8492897",0,0,2938034,6,,boundary
Sai Mai District,Sai Mai District,เขตสายไหม,"100.6087442,13.8740514,100.6924009,13.9501896",0,0,2938035,6,,boundary
Vadhana District,Vadhana District,เขตวัฒนา,"100.5501098,13.7047038,100.6068489,13.7485064",0,0,2938036,6,,boundary
Bang Kapi District,Bang Kapi District,เขตบางกะปิ,"100.6009909,13.7383281,100.679024,13.8193878",0,0,2939952,6,,boundary
Bangkok Yai District,Bangkok Yai District,เขตบางกอกใหญ่,"100.4616116,13.7221907,100.4920261,13.7480852",0,0,2939953,6,,boundary
Taling Chan District,Taling Chan District,เขตตลิ่งชัน,"100.4061543,13.7400064,100.4699096,13.8013016",0,0,2939954,6,,boundary
Thawi Watthana District,Thawi Watthana District,เขตทวีวัฒนา,"100.3278772,13.736086,100.4110419,13.8041844",0,0,2939955,6,,boundary
Wang Thonglang District,Wang Thonglang District,เขตวังทองหลาง,"100.5883725,13.751212,100.6306342,13.8028206",0,0,2939956,6,,boundary
Bang Phlat District,Bang Phlat District,เขตบางพลัด,"100.4662022,13.7619452,100.5175947,13.8132151",0,0,2942281,6,,boundary
